0, 80, 20
0, 80, 20
0, 76, 24
0, 65, 35
0, 68, 32
0, 69, 31
0, 62, 38
0, 66, 34
0, 67, 33
0, 63, 37
0, 59, 41
0, 53, 47
0, 41, 59
0, 28, 72
0, 16, 84
0, 19, 81
0, 6, 94
0, 12, 88
0, 10, 90
0, 5, 95
0, 14, 86
0, 10, 90
0, 6, 94
0, 9, 91
0, 13, 87
0, 16, 84
0, 11, 89
0, 17, 83
0, 16, 84
0, 11, 89
0, 10, 90
0, 18, 82
0, 10, 90
0, 14, 86
0, 5, 95
0, 6, 94
0, 10, 90
0, 18, 82
0, 7, 93
0, 13, 87
0, 14, 86
0, 14, 86
0, 13, 87
0, 9, 91
0, 9, 91
0, 10, 90
0, 16, 84
0, 8, 92
0, 11, 89
0, 12, 88
0, 7, 93
0, 9, 91
0, 11, 89
0, 10, 90
0, 16, 84
0, 13, 87
0, 8, 92
0, 13, 87
0, 6, 94
0, 7, 93
0, 5, 95
0, 11, 89
0, 6, 94
0, 4, 96
0, 7, 93
0, 7, 93
0, 6, 94
0, 9, 91
0, 12, 88
0, 8, 92
0, 12, 88
0, 5, 95
0, 7, 93
0, 4, 96
0, 6, 94
0, 6, 94
0, 9, 91
0, 11, 89
0, 11, 89
0, 7, 93
0, 7, 93
0, 7, 93
0, 12, 88
0, 5, 95
0, 5, 95
0, 3, 97
0, 8, 92
0, 7, 93
0, 4, 96
0, 8, 92
0, 7, 93
0, 6, 94
0, 9, 91
0, 8, 92
0, 8, 92
0, 6, 94
0, 10, 90
0, 9, 91
0, 6, 94
0, 4, 96
