47, 42, 11
58, 27, 15
63, 24, 13
61, 23, 16
70, 19, 11
76, 17, 7
61, 29, 10
69, 24, 7
73, 21, 6
79, 19, 2
75, 20, 5
84, 10, 6
77, 16, 7
83, 9, 8
84, 15, 1
90, 5, 5
82, 10, 8
85, 11, 4
89, 5, 6
85, 12, 3
93, 6, 1
91, 4, 5
84, 6, 10
86, 10, 4
90, 5, 5
88, 8, 4
92, 5, 3
93, 6, 1
91, 9, 0
82, 14, 4
84, 13, 3
86, 12, 2
82, 12, 6
89, 8, 3
81, 13, 6
85, 11, 4
94, 4, 2
91, 3, 6
86, 8, 6
91, 8, 1
91, 6, 3
89, 7, 4
88, 9, 3
94, 2, 4
86, 9, 5
94, 5, 1
89, 8, 3
94, 4, 2
92, 5, 3
91, 8, 1
87, 9, 4
93, 6, 1
88, 8, 4
86, 10, 4
90, 8, 2
92, 7, 1
92, 5, 3
91, 7, 2
93, 7, 0
88, 10, 2
90, 8, 2
85, 10, 5
85, 12, 3
87, 10, 3
94, 3, 3
91, 4, 5
86, 9, 5
91, 4, 5
89, 9, 2
90, 8, 2
94, 5, 1
92, 5, 3
91, 6, 3
85, 11, 4
89, 9, 2
90, 5, 5
90, 4, 6
90, 6, 4
90, 7, 3
85, 13, 2
88, 10, 2
92, 6, 2
86, 11, 3
90, 5, 5
84, 12, 4
88, 10, 2
89, 11, 0
83, 14, 3
89, 5, 6
88, 8, 4
90, 8, 2
90, 8, 2
98, 1, 1
94, 5, 1
96, 3, 1
93, 2, 5
94, 2, 4
96, 2, 2
95, 3, 2
92, 1, 7
