57, 27, 16
63, 26, 11
67, 27, 6
59, 31, 10
48, 44, 8
50, 38, 12
44, 52, 4
48, 39, 13
39, 54, 7
50, 41, 9
38, 56, 6
47, 48, 5
41, 56, 3
30, 67, 3
45, 53, 2
35, 61, 4
29, 67, 4
30, 66, 4
30, 66, 4
25, 72, 3
33, 65, 2
26, 74, 0
23, 74, 3
25, 74, 1
30, 69, 1
23, 75, 2
24, 74, 2
25, 71, 4
26, 71, 3
21, 79, 0
26, 72, 2
27, 68, 5
22, 76, 2
21, 77, 2
19, 80, 1
25, 74, 1
24, 74, 2
17, 81, 2
23, 75, 2
25, 74, 1
28, 70, 2
22, 73, 5
28, 67, 5
21, 77, 2
23, 73, 4
22, 76, 2
17, 79, 4
21, 75, 4
16, 83, 1
20, 76, 4
22, 76, 2
19, 80, 1
25, 73, 2
24, 73, 3
22, 75, 3
19, 78, 3
20, 79, 1
25, 67, 8
22, 72, 6
24, 74, 2
26, 67, 7
30, 67, 3
14, 82, 4
27, 66, 7
14, 85, 1
18, 78, 4
17, 79, 4
19, 76, 5
23, 73, 4
16, 79, 5
15, 81, 4
20, 75, 5
19, 74, 7
24, 69, 7
21, 72, 7
15, 81, 4
21, 73, 6
19, 76, 5
16, 78, 6
19, 79, 2
16, 81, 3
8, 86, 6
22, 72, 6
24, 66, 10
12, 86, 2
21, 76, 3
21, 73, 6
13, 82, 5
15, 81, 4
12, 85, 3
21, 77, 2
21, 70, 9
24, 69, 7
22, 68, 10
13, 80, 7
14, 76, 10
18, 79, 3
9, 82, 9
26, 70, 4
12, 81, 7
